Plant Species,value
Inga stenoptera,17.5
Inga tenuistipula,28.5
Inga thibaudiana,18.75
Iriartea deltoidea,32.25
Iryanthera crassifolia,19.95
Iryanthera sagotiana,23.86666667
Jacaratia digitata,45
Jessenia bataua,22.5
Lacmellea aculeata,9.3605
Lacmellea ramosissima,9.4934
Laetia corymbulosa,12.3
Laetia procera,4.192105263
Lantana camara,3.833333333
Lecythis pisonis,152.5142857
Leonia glycycarpa,52.5
Licania membranacea,7.793777778
Lithraea molleoides,6.023166667
Maclura tinctoria,31.65
Mangifera indica,8
Manilkara bidentata,31.62857143
Manilkara huberi,33
Maquira calophylla,50
Marcgravia polyantha,15
Maripa janusiana,12.5
Maripa peruviana,15
Matayba elaeagnoides,15
Matisia obliquifolia,19.1
Mauritia flexuosa,36.42056075
Mauritiella aculeata,37.5
Maximiliana maripa,27.75
Maytenus macrocarpa,7
Mendoncia glomerata,6.011111111
Mendoncia hoffmannseggiana,8
Mendoncia odorata,13.5
Miconia acuminifera,8.591176471
Miconia albicans,5.8
Miconia cuspidata,3.277227723
Miconia flammea,3.23
Miconia holosericea,6.675
Miconia poeppigii,3.1
Micropholis caudata,19.5
Micropholis guyanensis ,17
Micropholis mensalis,17.212
Micropholis obscura,16.5
Micropholis venulosa,11.06666667
Monstera adansonii,7.714285714
Morus insignis,2.5
Mouriri collocarpa,28.4
Mouriri crassifolia,11.73333333
Mouriri elliptica,27.31333333
Moutabea aculeata,39.7
Moutabea guianensis,13
Musa velutina,29
Naucleopsis ulei,37.5
Nectandra cuspidata,9.208571429
Neea robusta,10
Norantea guianensis,16.16666667
Ocotea cernua,7
Ocotea oblonga,13
Ocotea percurrens,6.5
Odontocarya emarginata,13.6
Odontocarya petiolaris,14
Odontocarya tripetala,6.458333333
Oenocarpus bacaba,14
Oenocarpus mapora,12.91666667
Osteophloeum platyspermum,27.85
Oxandra mediocris ,10
Pacouria guianensis,110
Parahancornia fasciculata,31.75
Parinari excelsa,25
Parinari obtusifolia,20
Parkia multijuga,110
Parkia pendula,20.9
Paspalum conjugatum,1.5
Passiflora edulis,50.8
Passiflora involucrata,45
Paullinia capreolata,13.33333333
Paullinia faginea,16
Paullinia obovata,30.68181818
Pera arborea,10
Perebea mollis,26.8
Perebea xanthochyma,13.72142857
Pereskia aculeata,23.1
Peritassa laevigata,31.005
Philodendron appendiculatum,2.5
Philodendron corcovadense,6
Philodendron crassinervium,9
Philodendron eximium,1
Philodendron obliquifolium,28.3
Phoradendron piperoides,4.0087
Phyllanthus attenuatus,4.168272727
Phytelephas aequatorialis,26.48133333
Piper aduncum ,3.25
Pithecellobium dulce,15
Posoqueria latifolia,35.74074074
Pourouma bicolor,11.91666667
Pourouma guianensis,17.07407407
Pourouma melinoni,10.07682143
Pourouma minor,14.16666667
Pourouma mollis,11.5
Pourouma petiolulata,12.16666667
Pourouma tomentosa,11.28
Pourouma villosa,8.944176471
Pouteria ambelaniifolia,21.626
Pouteria bapeba,31.1
Pouteria bilocularis,19.8
Pouteria caimito ,40.6875
Pouteria campanulata,21.00166667
Pouteria cuspidata,20.53333333
Pouteria durlandii,63.6
Pouteria egregia,18.56666667
Pouteria engleri,22
Pouteria filipes,16.5116
Pouteria guianensis,36.47058824
