Plant_Species,Native_Introduced
Lantana camara,N
Lecythis pisonis,N
Leonia glycycarpa,N
Lepidagathis alopecuroidea,N
Licania membranacea,N
Lithraea molleoides,N
Ludovia lancifolia,N
Maclura tinctoria,N
Mangifera indica,I
Manilkara bidentata,N
Manilkara huberi,N
Maquira calophylla,N
Marcgravia polyantha,N
Maripa janusiana,N
Maripa peruviana,N
Matayba elaeagnoides,N
Matisia obliquifolia,N
Mauritia flexuosa,N
Mauritiella aculeata,N
Maximiliana maripa,N
Maytenus macrocarpa,N
Mendoncia glomerata,N
Mendoncia hoffmannseggiana,N
Mendoncia odorata,N
Mendoncia pedunculata,N
Miconia acuminifera,N
Miconia albicans,N
Miconia cuspidata,N
Miconia flammea,N
Miconia holosericea,N
Miconia poeppigii,N
Miconia ternatifolia,N
Miconia trianaei,N
Micropholis caudata,N
Micropholis cayennensis,N
Micropholis guyanensis ,N
Micropholis mensalis,N
Micropholis obscura,N
Micropholis venulosa,N
Minquartia guianensis,N
Monstera adansonii,N
Morus insignis,N
Morus nigra,I
Mouriri collocarpa,N
Mouriri crassifolia,N
Mouriri elliptica,N
Moutabea aculeata,N
Moutabea guianensis,N
Musa velutina,I
Myrcia guajavaefolia,N
Naucleopsis ulei,N
Nectandra cuspidata,N
Neea laxa,N
Neea robusta,N
Nepsera aquatica,N
Norantea guianensis,N
Ocotea cernua,N
Ocotea oblonga,N
Ocotea percurrens,N
Ocotea tomentosa,N
Odontocarya emarginata,N
Odontocarya petiolaris,N
Odontocarya tripetala,N
Oenocarpus bacaba,N
Oenocarpus mapora,N
Opuntia cardiosperma,N
Osteophloeum platyspermum,N
Oxandra mediocris ,N
Pacouria guianensis,N
Panicum laxum,N
Parahancornia fasciculata,N
Parinari excelsa,I
Parinari obtusifolia,N
Parkia multijuga,N
Parkia pendula,N
Paspalum conjugatum,N
Passiflora edulis,N
Passiflora involucrata,N
Paullinia capreolata,N
Paullinia faginea,N
Paullinia obovata,N
Pera arborea,N
Perebea mollis,N
Perebea xanthochyma,N
Pereskia aculeata,N
Peritassa laevigata,N
Philodendron appendiculatum,N
Philodendron corcovadense,N
Philodendron crassinervium,N
Philodendron eximium,N
Philodendron obliquifolium,N
Phoradendron piperoides,N
Phyllanthus attenuatus,N
Phytelephas aequatorialis,N
Piper aduncum ,N
Piper glandulosissimum,N
Pithecellobium dulce,N
Pleurisanthes emarginata,N
Posoqueria latifolia,N
Pourouma bicolor,N
Pourouma guianensis,N
Pourouma melinoni,N
Pourouma minor,N
Pourouma mollis,N
Pourouma petiolulata,N
Pourouma tomentosa,N
Pourouma villosa,N
Pouteria ambelaniifolia,N
Pouteria aubrevillei,N
Pouteria bapeba,N
Pouteria bilocularis,N
Pouteria caimito ,N
Pouteria campanulata,N
Pouteria cuspidata,N
Pouteria durlandii,N
Pouteria egregia,N
Pouteria engleri,N
Pouteria filipes,N
Pouteria guianensis,N
Pouteria hispida,N
Pouteria laevigata,N
Pouteria oblanceolata,N
Pouteria procera,N
Pouteria reticulata,N
Pouteria torta,N
