Plant_Species,S_Width
Ocotea oblonga,11.55
Ocotea percurrens,8
Odontocarya petiolaris,8.55
Odontocarya tripetala,5.55
Oenocarpus mapora,14.22727273
Osteophloeum platyspermum,10.95
Oxandra mediocris ,7.227272727
Pacouria guianensis,15.7
Parahancornia fasciculata,6.6
Parinari excelsa,16
Parkia multijuga,13.6
Parkia pendula,4.95
Paspalum conjugatum,1.4
Passiflora edulis,1.766666667
Passiflora involucrata,4.5
Paullinia capreolata,9
Paullinia faginea,9
Paullinia obovata,7.541666667
Pera arborea,6.677419355
Perebea mollis,6.677083333
Perebea xanthochyma,5.164285714
Pereskia aculeata,6
Peritassa laevigata,13
Philodendron appendiculatum,0.53
Philodendron corcovadense,1.813333333
Philodendron eximium,0.1
Philodendron obliquifolium,1.335714286
Phoradendron piperoides,2
Phytelephas aequatorialis,31.867
Piper aduncum ,0.746969697
Posoqueria latifolia,10.97948718
Pourouma bicolor,7.447916667
Pourouma minor,9.921875
Pourouma mollis,7.477272727
Pourouma petiolulata,7.7375
Pourouma tomentosa,8.38
Pouteria bapeba,13
Pouteria bilocularis,2.5
Pouteria caimito ,11.99038462
Pouteria campanulata,9.945
Pouteria cuspidata,10.62
Pouteria durlandii,12.19090909
Pouteria egregia,10.1
Pouteria engleri,11
Pouteria guianensis,7.727272727
Pouteria hispida,7.727272727
Pouteria laevigata,21.78695652
Pouteria oblanceolata,14.5
Pouteria procera,17.5
Pouteria reticulata,10.67045455
Pouteria torta,7.380952381
Prockia crucis,2
Protium apiculatum,8
Protium crenatum,8.727272727
Protium glabrescens,6.361111111
Protium heptaphyllum,6.4
Protium rhoifolium,7.85
Protium robustum,6.271428571
Protium sagotianum ,7.56875
Prunus myrtifolia ,11
Pseudolmedia hirsuta,6.6
Pseudolmedia laevigata,5.389583333
Pseudolmedia laevis ,5.398780488
Pseudolmedia obliqua,6
Pseudolmedia rigida,3.5
Pseudomalmea diclina,10.675
Psidium guajava,6
Psychotria carthagenesis,3.523809524
Psychotria mapourioides,2
Psychotria suterella,2.658823529
Randia hondensis ,8.9
Rauvolfia paraensis,16
Rauvolfia sellowii,3.7
Rheedia macrophylla,12.15357143
Rhodostemonodaphne synandra,11.5
Rollinia dolichopetala,3.7488
Rollinia edulis,4.256973684
Rollinia mucosa ,5
Rollinia sericea,5
Ruizodendron ovale ,11.70833333
Salacia cordata,25
Sapium stylare,5
Sarcaulus brasiliensis ,9.888888889
Schefflera paraensis,5.4
Schlegelia ramizii,1.044444444
Scleria melaleuca,1.795
Senna macranthera,4.5
Simarouba amara,8.075
Sloanea guianensis,5.981081081
Socratea exorrhiza,17.48148148
Sorocea steinbachii,5
Souroubea sympetala ,1.65
Spondias mombin,16.35714286
Spondias venulosa ,17.6
Strychnos amazonica,11.25
Strychnos erichsonii,14
Strychnos panurensis,9.95
