mammal,threatened_status,body_size,plant_species,family,native_introduced,fleshy_dry,dehiscent_indehiscent,number_s_per_f,s_width,f_width,citation_number,citations
Alouatta seniculus,NT,S,Bocageopsis multiflora,Annonaceae,N,F,I,1.5,5.5,5.5,8,Gomez 2004
Alouatta seniculus,NT,S,Pouteria engleri,Sapotaceae,N,F,I,2,11,22,8,Gomez 2004
Alouatta seniculus,NT,S,Cheiloclinium hippocrateoides,Celastraceae,N,F,D,3,12.26666667,21.43333333,8,Gomez 2004
Alouatta seniculus,NT,S,Byrsonima stipulacea,Malpighiaceae,N,F,I,NA,NA,10.98,8,Gomez 2004
Alouatta seniculus,NT,S,Pourouma villosa,Urticaceae,N,F,I,NA,NA,8.944176471,8,Gomez 2004
Alouatta seniculus,NT,S,Osteophloeum platyspermum,Myristicaceae,N,F,D,1,10.95,27.85,8,Gomez 2004
Alouatta seniculus,NT,S,Helicostylis tomentosa,Moraceae,N,F,I,12.13712121,6.125,25,8,Gomez 2004
Alouatta seniculus,NT,S,Clarisia racemosa,Moraceae,N,F,I,1,12.71538462,16.58333333,8,Gomez 2004
Alouatta seniculus,NT,S,Guapira guianensis,Nyctaginaceae,N,F,I,NA,3.36,NA,9,Grafton 2004
Alouatta seniculus,NT,S,Talisia retusa,Sapindaceae,N,F,I,NA,7,29.5,9,Grafton 2004
Alouatta seniculus,NT,S,Vitex capitata,Lamiaceae,N,F,I,NA,7.16,NA,9,Grafton 2004
Alouatta seniculus,NT,S,Brosimum lactescens,Moraceae,N,F,I,1.45530303,8.924528302,15,9,Grafton 2004
Alouatta seniculus,NT,S,Byrsonima schomburgkiana,Malpighiaceae,N,F,I,NA,NA,NA,9,Grafton 2004
Alouatta seniculus,NT,S,Pouteria laevigata,Sapotaceae,N,F,I,4,21.78695652,35.608,9,Grafton 2004
Alouatta seniculus,NT,S,Spondias mombin,Anacardiaceae,N,F,I,1.357142857,16.35714286,25,10,Guillotin 1994
Alouatta seniculus,NT,S,Cecropia obtusa,Urticaceae,N,F,I,NA,0.5,0.8,10,Guillotin 1994
Alouatta seniculus,NT,S,Cecropia sciadophylla,Urticaceae,N,F,I,1950,1.157142857,15,10,Guillotin 1994
Alouatta seniculus,NT,S,Ziziphus cinnamomum,Rhamnaceae,N,F,I,1,12.8,15.6,10,Guillotin 1994
Alouatta seniculus,NT,S,Ludovia lancifolia,Cyclanthaceae,N,D,I,NA,NA,NA,10,Guillotin 1994
Alouatta seniculus,NT,S,Goupia glabra,Goupiaceae,N,F,I,3.967741935,1,4.3,10,Guillotin 1994
Alouatta seniculus,NT,S,Virola michelii,Myristicaceae,N,F,D,1,14.20133333,16.664,10,Guillotin 1994
Alouatta seniculus,NT,S,Tetragastris panamensis,Burseraceae,N,F,D,5.5,8.4,36.45,10,Guillotin 1994
Alouatta seniculus,NT,S,Pouteria egregia,Sapotaceae,N,F,I,1,10.1,18.56666667,10,Guillotin 1994
Alouatta seniculus,NT,S,Moutabea guianensis,Polygalaceae,N,F,I,NA,17.9,13,10,Guillotin 1994
Alouatta seniculus,NT,S,Iryanthera sagotiana,Myristicaceae,N,F,D,1,21.9,23.86666667,10,Guillotin 1994
Alouatta seniculus,NT,S,Bagassa guianensis,Moraceae,N,F,I,NA,NA,19.16666667,10,Guillotin 1994
Alouatta seniculus,NT,S,Virola flexuosa,Myristicaceae,N,F,D,1,12.67142857,19.28333333,11,Holbrook 2006
Alouatta seniculus,NT,S,Schefflera paraensis,Araliaceae,N,F,I,NA,5.4,14,12,Julliot 1996
Alouatta seniculus,NT,S,Parahancornia fasciculata,Apocynaceae,N,F,I,NA,6.6,31.75,12,Julliot 1996
Alouatta seniculus,NT,S,Cecropia obtusa,Urticaceae,N,F,I,NA,0.5,0.8,12,Julliot 1996
Alouatta seniculus,NT,S,Cecropia sciadophylla,Urticaceae,N,F,I,1950,1.157142857,15,12,Julliot 1996
Alouatta seniculus,NT,S,Ziziphus cinnamomum,Rhamnaceae,N,F,I,1,12.8,15.6,12,Julliot 1996
Alouatta seniculus,NT,S,Ludovia lancifolia,Cyclanthaceae,N,D,I,NA,NA,NA,12,Julliot 1996
Alouatta seniculus,NT,S,Goupia glabra,Goupiaceae,N,F,I,3.967741935,1,4.3,12,Julliot 1996
Alouatta seniculus,NT,S,Ficus pertusa,Moraceae,N,F,I,53.83647505,0.75,9.381818182,12,Julliot 1996
Alouatta seniculus,NT,S,Ficus trigona,Moraceae,N,F,I,187.2727273,0.875,17.5,12,Julliot 1996
Alouatta seniculus,NT,S,Ficus guianensis,Moraceae,N,F,I,114.9411765,0.958333333,12.3537037,12,Julliot 1996
Alouatta seniculus,NT,S,Phoradendron piperoides,Santalaceae ,N,F,I,NA,2,4.0087,12,Julliot 1996
Alouatta seniculus,NT,S,Pouteria bilocularis,Sapotaceae,N,F,I,1,2.5,19.8,12,Julliot 1996
Alouatta seniculus,NT,S,Psychotria carthagenesis,Rubiaceae,N,F,I,2,3.523809524,5.761538462,12,Julliot 1996
Alouatta seniculus,NT,S,Tapirira guianensis,Anacardiaceae,N,F,I,1,5.171428571,7.916666667,12,Julliot 1996
Alouatta seniculus,NT,S,Trymatococcus oligandrus,Moraceae,N,F,I,NA,7,13,12,Julliot 1996
Alouatta seniculus,NT,S,Pourouma mollis,Urticaceae,N,F,I,1,7.477272727,11.5,12,Julliot 1996
Alouatta seniculus,NT,S,Pouteria hispida,Sapotaceae,N,F,I,2.941176471,7.727272727,36.47058824,12,Julliot 1996
Alouatta seniculus,NT,S,Micropholis mensalis,Sapotaceae,N,F,I,1.5,8.477,17.212,12,Julliot 1996
Alouatta seniculus,NT,S,Ecclinusa guianensis,Sapotaceae,N,F,I,3,13,22.5,12,Julliot 1996
Alouatta seniculus,NT,S,Virola surinamensis,Myristicaceae,N,D,D,1,14.4,18.6,12,Julliot 1996
Alouatta seniculus,NT,S,Ecclinusa lanceolata,Sapotaceae,N,F,I,4.5,15,28,12,Julliot 1996
Alouatta seniculus,NT,S,Caryocar glabrum,Caryocaraceae,N,F,I,1.5,23.8,55,12,Julliot 1996
Alouatta seniculus,NT,S,Salacia cordata,Celastraceae,N,F,D,3.5,25,43.76033333,12,Julliot 1996
Alouatta seniculus,NT,S,Pouteria filipes,Sapotaceae,N,F,I,2,NA,16.5116,12,Julliot 1996
Alouatta seniculus,NT,S,Guettarda acreana,Rubiaceae,N,F,I,3,NA,5,12,Julliot 1996
Alouatta seniculus,NT,S,Coussapoa latifolia,Urticaceae,N,F,I,75,NA,8.216666667,12,Julliot 1996
Alouatta seniculus,NT,S,Annona haematantha,Annonaceae,N,F,I,NA,NA,NA,12,Julliot 1996
Alouatta seniculus,NT,S,Coccoloba parimensis,Polygonaceae,N,F,I,NA,NA,6.416666667,12,Julliot 1996
Alouatta seniculus,NT,S,Cordia lomatoloba,Boraginaceae,N,F,I,NA,NA,7.218133333,12,Julliot 1996
Alouatta seniculus,NT,S,Ficus amazonica,Moraceae,N,F,I,NA,NA,7,12,Julliot 1996
Alouatta seniculus,NT,S,Ficus broadwayi,Moraceae,N,F,I,NA,NA,20,12,Julliot 1996
Alouatta seniculus,NT,S,Heteropsis jenmanii,Araceae,N,F,I,NA,NA,NA,12,Julliot 1996
Alouatta seniculus,NT,S,Lacmellea aculeata,Apocynaceae,N,F,I,NA,NA,9.3605,12,Julliot 1996
Alouatta seniculus,NT,S,Licania membranacea,Chrysobalanaceae,N,F,I,NA,NA,7.793777778,12,Julliot 1996
Alouatta seniculus,NT,S,Pourouma melinoni,Urticaceae,N,F,I,NA,NA,10.07682143,12,Julliot 1996
Alouatta seniculus,NT,S,Protium neglectum,Burseraceae,N,F,D,NA,NA,11.82133333,12,Julliot 1996
Alouatta seniculus,NT,S,Tapirira peckoltiana,Anacardiaceae,N,F,I,NA,NA,NA,12,Julliot 1996
Alouatta seniculus,NT,S,Brosimum parinarioides,Moraceae,N,F,I,NA,6.6,23.1,12,Julliot 1996
Alouatta seniculus,NT,S,Virola michelii,Myristicaceae,N,F,D,1,14.20133333,16.664,12,Julliot 1996
Alouatta seniculus,NT,S,Pouteria torta,Sapotaceae,N,F,I,2.768421053,7.380952381,36.71875,12,Julliot 1996
Alouatta seniculus,NT,S,Quiina obovata,Quiinaceae,N,F,I,NA,NA,NA,12,Julliot 1996
Alouatta seniculus,NT,S,Minquartia guianensis,Olacaceae,N,F,I,NA,12,NA,12,Julliot 1996
Alouatta seniculus,NT,S,Chrysophyllum lucentifolium,Sapotaceae,N,F,I,4.01,12.05714286,57,12,Julliot 1996
Alouatta seniculus,NT,S,Manilkara bidentata,Sapotaceae,N,F,I,1.099074074,13.08691983,31.62857143,12,Julliot 1996
Alouatta seniculus,NT,S,Pouteria laevigata,Sapotaceae,N,F,I,4,21.78695652,35.608,12,Julliot 1996
Alouatta seniculus,NT,S,Tetragastris panamensis,Burseraceae,N,F,D,5.5,8.4,36.45,12,Julliot 1996
Alouatta seniculus,NT,S,Pouteria egregia,Sapotaceae,N,F,I,1,10.1,18.56666667,12,Julliot 1996
Alouatta seniculus,NT,S,Moutabea guianensis,Polygalaceae,N,F,I,NA,17.9,13,12,Julliot 1996
Alouatta seniculus,NT,S,Iryanthera sagotiana,Myristicaceae,N,F,D,1,21.9,23.86666667,12,Julliot 1996
Alouatta seniculus,NT,S,Bagassa guianensis,Moraceae,N,F,I,NA,NA,19.16666667,12,Julliot 1996
Alouatta seniculus,NT,S,Ficus nymphaeifolia,Moraceae,N,F,I,350,1,23,12,Julliot 1996
Alouatta seniculus,NT,S,Helicostylis pedunculata,Moraceae,N,F,I,NA,4,5,12,Julliot 1996
Alouatta seniculus,NT,S,Mouriri crassifolia,Melastomataceae,N,F,I,3.5,5.4,11.73333333,12,Julliot 1996
Alouatta seniculus,NT,S,Micropholis obscura,Sapotaceae,N,F,I,1,7.1,16.5,12,Julliot 1996
Alouatta seniculus,NT,S,Pourouma tomentosa,Urticaceae,N,F,I,1,8.38,11.28,12,Julliot 1996
Alouatta seniculus,NT,S,Drypetes variabilis,Putranjivaceae,N,F,I,1,9.65,11,12,Julliot 1996
Alouatta seniculus,NT,S,Chrysophyllum prieurii,Sapotaceae,N,F,I,3,17,45,12,Julliot 1996
Alouatta seniculus,NT,S,Dendrobangia boliviana,Metteniusaceae,N,F,I,1,NA,10,12,Julliot 1996
Alouatta seniculus,NT,S,Pouteria ambelaniifolia,Sapotaceae,N,F,I,1.5,NA,21.626,12,Julliot 1996
Alouatta seniculus,NT,S,Micropholis cayennensis,Sapotaceae,N,F,I,NA,NA,NA,12,Julliot 1996
Alouatta seniculus,NT,S,Parahancornia fasciculata,Apocynaceae,N,F,I,NA,6.6,31.75,13,Julliot 1997
Alouatta seniculus,NT,S,Virola michelii,Myristicaceae,N,F,D,1,14.20133333,16.664,13,Julliot 1997
Alouatta seniculus,NT,S,Pouteria torta,Sapotaceae,N,F,I,2.768421053,7.380952381,36.71875,13,Julliot 1997
Alouatta seniculus,NT,S,Quiina obovata,Quiinaceae,N,F,I,NA,NA,NA,13,Julliot 1997
Alouatta seniculus,NT,S,Minquartia guianensis,Olacaceae,N,F,I,NA,12,NA,13,Julliot 1997
Alouatta seniculus,NT,S,Chrysophyllum lucentifolium,Sapotaceae,N,F,I,4.01,12.05714286,57,13,Julliot 1997
Alouatta seniculus,NT,S,Guatteria ferruginea,Annonaceae,N,F,I,NA,4.64516129,5.5,14,Obregón 2007
Alouatta seniculus,NT,S,Xylopia polyantha,Annonaceae,N,D,I,2,5.308961039,NA,14,Obregón 2007
