mammal,threatened_status,body_size,plant_species,family,native_introduced,fleshy_dry,dehiscent_indehiscent,number_s_per_f,s_width,f_width,citations
Lagothrix lagothricha,T,S,Xylopia polyantha,Annonaceae,N,D,I,2,5.308961039,NA,Echeverry 2020
Lagothrix lagothricha,T,S,Trichilia tuberculata,Meliaceae,N,D,D,1.75,5.363636364,9,"Stevenson 2011, Stevenson 2005, Stevenson 2007"
Lagothrix lagothricha,T,S,Pseudolmedia laevigata,Moraceae,N,F,I,1,5.389583333,10.3,"Stevenson 2002, Stevenson 2004, Stevenson 2007, Stevenson 1997, Yumoto 1999"
Lagothrix lagothricha,T,S,Pseudolmedia laevis ,Moraceae,N,F,I,1,5.398780488,9.642857143,"Stevenson 2000, Stevenson 2005, Yumoto 1999, Echeverry 2020"
Lagothrix lagothricha,T,S,Maytenus macrocarpa,Celastraceae,N,F,D,NA,5.4,7,Stevenson 2000
Lagothrix lagothricha,T,S,Odontocarya tripetala,Menispermaceae,N,F,I,1,5.55,6.458333333,Gonzalez 2014
Lagothrix lagothricha,T,S,Coccoloba coronata,Polygonaceae,N,F,I,1,5.6,7.0375,Stevenson 2000
Lagothrix lagothricha,T,S,Theobroma obovatum,Malvaceae,N,F,I,14.5,5.815571429,44.55,Gonzalez 2014
Lagothrix lagothricha,T,S,Heisteria nitida,Olacaceae,N,F,I,1,6,NA,Stevenson 2000
Lagothrix lagothricha,T,S,Ocotea cernua,Lauraceae,N,F,I,1,6,7,Stevenson 2000
Lagothrix lagothricha,T,S,Pseudolmedia obliqua,Moraceae,N,F,I,1,6,NA,Stevenson 2007
Lagothrix lagothricha,T,S,Pereskia aculeata,Cactaceae,N,F,I,2.33333333,6,23.1,"Stevenson 2000, Angarita 2002"
Lagothrix lagothricha,T,S,Moutabea aculeata,Polygalaceae,N,F,I,NA,6.05,39.7,Gonzalez 2014
Lagothrix lagothricha,T,S,Helicostylis tomentosa,Moraceae,N,F,I,12.13712121,6.125,25,"Stevenson 2000, Stevenson 2002, Stevenson 2004. Gonzalez 2014, Stevenson 1997, Stevenson 2007"
Lagothrix lagothricha,T,S,Inga alba,Leguminosae,N,F,I,10.171875,6.269886364,12.5,"Stevenson 2000, Stevenson 2002, Stevenson 2004, Stevenson 2005, Stevenson 2007, Echeverry 2020"
Lagothrix lagothricha,T,S,Protium robustum,Burseraceae,N,F,D,2.85,6.271428571,25.8,Yumoto 1999
Lagothrix lagothricha,T,S,Protium glabrescens,Burseraceae,N,F,D,1.217438272,6.361111111,12,"Stevenson 2000, Stevenson 2005, Stevenson 1997, Echeverry 2020"
Lagothrix lagothricha,T,S,Protium heptaphyllum,Burseraceae,N,F,D,NA,6.4,15.4,Echeverry 2020
Lagothrix lagothricha,T,S,Brosimum guianensis,Moraceae,N,F,I,1.833333333,6.5,15.6125,"Stevenson 2000, Stevenson 2011"
Lagothrix lagothricha,T,S,Pseudolmedia hirsuta,Moraceae,N,F,I,1,6.6,14,Stevenson 2011
Lagothrix lagothricha,T,S,Perebea mollis,Moraceae,N,F,I,13.71428571,6.677083333,26.8,"Stevenson 2000, Angarita 2002"
Lagothrix lagothricha,T,S,Cordia bicolor,Boraginaceae,N,F,I,1,7,8.6,Stevenson 2000
Lagothrix lagothricha,T,S,Tontelea mauritioides,Hippocrateaceae,N,F,I,4,7,13.70008696,Gonzalez 2014
Lagothrix lagothricha,T,S,Guatteria insculpta,Annonaceae,N,F,I,NA,7,8.5,Gonzalez 2014
Lagothrix lagothricha,T,S,Trichilia pleeana,Meliaceae,N,D,D,1.6,7.166666667,21.11666667,"Stevenson 2000, Stevenson 2007"
Lagothrix lagothricha,T,S,Oxandra mediocris ,Annonaceae,N,D,I,1,7.227272727,10,"Stevenson 2000, Stevenson 2007"
Lagothrix lagothricha,T,S,Crepidospermum rhoifolium,Burseraceae,N,F,D,1.428571429,7.242857143,14.2,"Stevenson 2000, Stevenson 2005, Yumoto 1999, Gonzalez 2014"
Lagothrix lagothricha,T,S,Inga bonplandiana,Leguminosae,N,F,I,7,7.3,20,Stevenson 2000
Lagothrix lagothricha,T,S,Inga marginata,Leguminosae,N,F,I,10.22727273,7.352272727,12.5,"Stevenson 2000, Gonzalez 2014"
Lagothrix lagothricha,T,S,Pourouma bicolor,Urticaceae,N,F,I,1,7.447916667,11.91666667,"Stevenson 2000, Stevenson 2002, Stevenson 2011, Stevenson 2004, Stevenson 2005, Stevenson 2007, Yumoto 1999, Dew 2001, Gonzalez 2014, Stevenson 1997"
Lagothrix lagothricha,T,S,Pourouma mollis,Urticaceae,N,F,I,1,7.477272727,11.5,Stevenson 2000
Lagothrix lagothricha,T,S,Paullinia obovata,Sapindaceae,N,F,D,2.704166668,7.541666667,30.68181818,"Stevenson 2000, Gonzales 2014"
Lagothrix lagothricha,T,S,Protium sagotianum ,Burseraceae,N,F,D,2.13525641,7.56875,26.85,"Stevenson 2000, Stevenson 2002,  Stevenson 2004, Stevenson 2005, Stevenson 2007, Yumoto 1999"
Lagothrix lagothricha,T,S,Inga cylindrica,Leguminosae,N,F,I,8,7.65,18.1111111,"Stevenson 2004, Stevenson 2005, Stevenson 2007, Stevenson 1997"
Lagothrix lagothricha,T,S,Pouteria guianensis,Sapotaceae,N,F,I,2.941176471,7.727272727,36.47058824,Gonzalez 2014
Lagothrix lagothricha,T,S,Pourouma petiolulata,Urticaceae,N,F,I,1,7.7375,12.16666667,"Stevenson 2000, Yumoto 1999"
Lagothrix lagothricha,T,S,Inga acreana,Leguminosae,N,F,I,7.872727273,7.795454545,25,"Stevenson 2000, Stevenson 2004, Stevenson 2007, Gonzalez 2014"
Lagothrix lagothricha,T,S,Protium rhoifolium,Burseraceae,N,F,D,1.5,7.85,20,Echeverry 2020
Lagothrix lagothricha,T,S,Maripa janusiana,Convolvulaceae,N,F,I,1,8,12.5,Gonzalez 2014
Lagothrix lagothricha,T,S,Protium apiculatum,Burseraceae,N,F,D,NA,8,21.45,Gonzalez 2014
Lagothrix lagothricha,T,S,Byrsonima crispa,Malpighiaceae,N,F,I,1,8.05,11,"Stevenson 2000, Echeverry 2020"
Lagothrix lagothricha,T,S,Mendoncia odorata,Acanthaceae,N,D,D,1,8.075,13.5,"Stevenson 2000, Stevenson 1997"
Lagothrix lagothricha,T,S,Simarouba amara,Simaroubaceae,N,F,I,1,8.075,10.33,"Stevenson 2000, Stevenson 2002, Stevenson 2004"
Lagothrix lagothricha,T,S,Dialium gianense,Fabaceae,N,D,I,1.083333333,8.1875,11.044,Gonzalez 2014
Lagothrix lagothricha,T,S,Coccoloba densifrons,Polygonaceae,N,F,I,1,8.242857143,13,"Yumoto 1999, Stevenson 2000"
Lagothrix lagothricha,T,S,Virola sebifera,Myristicaceae,N,F,D,1,8.333333333,13,Gonzalez 2014
Lagothrix lagothricha,T,S,Chrysophyllum parvulum,Sapotaceae,N,F,I,1,8.5,10.5,Stevenson 2000
Lagothrix lagothricha,T,S,Castilla ulei,Moraceae,N,F,I,6.242857143,8.5,35.76666667,"Stevenson 2000, Stevenson 2002, Stevenson 2004, Stevenson 2005, Stevenson 2007, Yumoto 1999"
Lagothrix lagothricha,T,S,Odontocarya petiolaris,Menispermaceae,N,F,I,NA,8.55,14,Gonzalez 2014
Lagothrix lagothricha,T,S,Protium crenatum,Burseraceae,N,F,D,1.433333333,8.727272727,20,"Angarita 2002, Stevenson 2000"
Lagothrix lagothricha,T,S,Couma macrocarpa,Apocynaceae,N,F,I,11.35483871,8.747368421,63.33333333,"Echeverry 2020, Gonzalez 2014"
Lagothrix lagothricha,T,S,Leonia glycycarpa,Violaceae,N,F,I,19.61363636,8.761363636,52.5,"Dew 2001, Stevenson 2000"
Lagothrix lagothricha,T,S,Randia hondensis ,Rubiaceae,N,F,I,45,8.9,22.9125,Stevenson 2000
Lagothrix lagothricha,T,S,Brosimum lactescens,Moraceae,N,F,I,1.45530303,8.924528302,15,"Stevenson 2000, Stevenson 2005, Stevenson 2007, Gonzalez 2014"
Lagothrix lagothricha,T,S,Paullinia capreolata,Sapindaceae,N,F,D,1,9,13.33333333,Stevenson 2000
Lagothrix lagothricha,T,S,Paullinia faginea,Sapindaceae,N,F,D,1,9,16,"Yumoto 1999, Stevenson 2011"
Lagothrix lagothricha,T,S,Inga stenoptera,Leguminosae,N,F,I,10.34090909,9,17.5,"Stevenson 2000, Stevenson 2005, Stevenson 2007"
Lagothrix lagothricha,T,S,Alibertia hadrantha,Rubiaceae,N,F,I,18.92857143,9,NA,"Stevenson 2000, Stevenson 2005, Stevenson 2007"
Lagothrix lagothricha,T,S,Batocarpus orinocensis,Moraceae,N,F,I,20,9.107142857,45.85,"Gonzalez 2014, Stevenson 1997"
Lagothrix lagothricha,T,S,Genipa americana,Rubiaceae,N,F,I,172.2857143,9.2,63.26388889,"Stevenson 2000, Stevenson 2004"
Lagothrix lagothricha,T,S,Inga tenuistipula,Leguminosae,N,F,I,15,9.4,28.5,Gonzalez 2014
Lagothrix lagothricha,T,S,Clitoria javitensis,Fabaceae,N,D,I,15,9.45,23.3,Stevenson 1997
Lagothrix lagothricha,T,S,Guatteria decurrens,Annonaceae,N,F,I,NA,9.5,9.5,Gonzalez 2014
Lagothrix lagothricha,T,S,Maripa peruviana,Convolvulaceae,N,F,I,1,9.65,15,"Stevenson 2000, Stevenson 2011"
Lagothrix lagothricha,T,S,Brosimum alicastrum,Moraceae,N,F,I,1,9.730769231,21.16666667,Stevenson 2000
Lagothrix lagothricha,T,S,Sarcaulus brasiliensis ,Sapotaceae,N,F,I,1,9.888888889,20,"Stevenson 2000, Stevenson 2002, Echeverry 2020"
Lagothrix lagothricha,T,S,Garcinia madruno,Clusiaceae,N,F,I,2,9.9,33.633,Gonzalez 2014
Lagothrix lagothricha,T,S,Pourouma minor,Urticaceae,N,F,I,1,9.921875,14.16666667,"Stevenson 2011, Stevenson 1997"
Lagothrix lagothricha,T,S,Pouteria campanulata,Sapotaceae,N,F,I,1,9.945,21.00166667,Gonzalez 2014
Lagothrix lagothricha,T,S,Strychnos panurensis,Loganiaceae,N,D,D,1.833333333,9.95,12.94,Gonzalez 2014
Lagothrix lagothricha,T,S,Abuta grandifolia,Menispermaceae,N,F,I,1,9.990909091,13.09636364,Stevenson 2000
Lagothrix lagothricha,T,S,Gustavia hexapetala,Lecythidaceae,N,D,D,9.442857143,10,47.5,"Stevenson 2000, Stevenson 2002, Stevenson 2004, Stevenson 2005, Stevenson 2007, Stevenson 1997"
Lagothrix lagothricha,T,S,Campomanesia speciosa,Myrtaceae,N,F,I,6.5,10,30.91666667,Stevenson 2000
Lagothrix lagothricha,T,S,Cayaponia granatensis,Cucurbitaceae,N,F,I,2.092592592,10.375,22.08333333,Stevenson 2007
Lagothrix lagothricha,T,S,Pouteria cuspidata,Sapotaceae,N,F,I,1.071428571,10.62,20.53333333,"Stevenson 2000, Gonzalez 2014"
Lagothrix lagothricha,T,S,Pouteria reticulata,Sapotaceae,N,F,I,1.92,10.67045455,13.5,"Stevenson 2011, Gonzalez 2014"
Lagothrix lagothricha,T,S,Pseudomalmea diclina,Annonaceae,N,F,I,1,10.675,17,Stevenson 2007
Lagothrix lagothricha,T,S,Hymenaea oblongifolia,Fabaceae,N,F,I,1.290909091,11,25.5,"Stevenson 2000, Stevenson 2004, Stevenson 2005, Stevenson 2007, Gonzalez 2014"
Lagothrix lagothricha,T,S,Inga acrocephala ,Leguminosae,N,F,I,15.6888889,11,40,Stevenson 2000
Lagothrix lagothricha,T,S,Prunus myrtifolia ,Rosaceae,N,F,I,NA,11,9.4,"Stevenson 2000, Stevenson 2011"
Lagothrix lagothricha,T,S,Buchenavia grandis,Combretaceae,N,F,I,1,11.18214286,18,Gonzalez 2014
Lagothrix lagothricha,T,S,Strychnos amazonica,Loganiaceae,N,F,I,NA,11.25,18.45833333,Gonzalez 2014
Lagothrix lagothricha,T,S,Talisia obovata,Sapindaceae,N,F,I,1,11.3015,10.37675,Gonzalez 2014
Lagothrix lagothricha,T,S,Rhodostemonodaphne synandra,Lauraceae,N,F,I,1,11.5,17,Stevenson 2000
Lagothrix lagothricha,T,S,Ocotea oblonga,Lauraceae,N,F,I,1,11.55,13,Stevenson 2000
Lagothrix lagothricha,T,S,Ruizodendron ovale ,Annonaceae,N,F,I,1,11.70833333,16.54166667,Stevenson 2000
Lagothrix lagothricha,T,S,Pouteria caimito ,Sapotaceae,N,F,I,2.396747968,11.99038462,40.6875,"Stevenson 2000, Stevenson 2007"
Lagothrix lagothricha,T,S,Minquartia guianensis,Olacaceae,N,F,I,NA,12,NA,Gonzalez 2014
Lagothrix lagothricha,T,S,Bursera inversa,Burseraceae,N,D,D,1,12.02857143,14.5,"Stevenson 2000, Stevenson 2004, Stevenson 2005, Stevenson 2007"
Lagothrix lagothricha,T,S,Cheiloclinium hippocrateoides,Celastraceae,N,F,D,3,12.26666667,21.43333333,Gonzalez 2014
Lagothrix lagothricha,T,S,Virola calophylla ,Myristicaceae,N,F,D,1,12.45235149,16.5,"Stevenson 2000, Stevenson 2007"
Lagothrix lagothricha,T,S,Dicranostyles ampla,Convolvulaceae,N,D,I,1,12.5,14.33333333,Gonzalez 2014
Lagothrix lagothricha,T,S,Garcinia macrophylla,Clusiaceae,N,F,I,3.077237654,12.59722222,55.69714286,"Stevenson 2000, Stevenson 2004, Stevenson 2005, Stevenson 2007"
Lagothrix lagothricha,T,S,Virola flexuosa,Myristicaceae,N,F,D,1,12.67142857,19.28333333,"Stevenson 2000, Yumoto 1999, Stevenson 2007"
Lagothrix lagothricha,T,S,Clarisia racemosa,Moraceae,N,F,I,1,12.71538462,16.58333333,"Stevenson 2011, Yumoto 1999, Dew 2001, Echeverry 2020, Gonzalez 2014"
Lagothrix lagothricha,T,S,Eugenia nesiotica,Myrtaceae,N,F,I,1.4375,12.81818182,24.5,"Stevenson 2011, Stevenson 2007"
Lagothrix lagothricha,T,S,Peritassa laevigata,Celastraceae,N,F,D,3,13,31.005,Gonzalez 2014
Lagothrix lagothricha,T,S,Swartzia leptopetala,Fabaceae,N,F,D,NA,13.492,22.158,Stevenson 2007
Lagothrix lagothricha,T,S,Parkia multijuga,Fabaceae,N,D,I,21,13.6,110,Gonzalez 2014
Lagothrix lagothricha,T,S,Virola peruviana ,Myristicaceae,N,F,D,1,13.925,22.5,"Stevenson 2000, Stevenson 2007"
Lagothrix lagothricha,T,S,Virola pavonis,Myristicaceae,N,F,D,1,14.03025,19,Gonzalez 2014
Lagothrix lagothricha,T,S,Eugenia cribata,Myrtaceae,N,F,I,1,14.2,37.4,Yumoto 1999
Lagothrix lagothricha,T,S,Theobroma subincanum,Malvaceae,N,F,I,29.58333333,14.83333333,80.83333333,"Stevenson 2000,Gonzalez 2014"
Lagothrix lagothricha,T,S,Talisia intermedia ,Sapindaceae,N,F,I,1,14.85714286,25.75,"Stevenson 2000, Stevenson 2007"
Lagothrix lagothricha,T,S,Inga edulis,Leguminosae,N,F,I,14.64035088,14.99665179,13.125,"Stevenson 2000, Stevenson 2002, Stevenson 2004, Stevenson 2005, Stevenson 2007, Gonzalez 2014"
Lagothrix lagothricha,T,S,Enterolobium cyclocarpum,Fabaceae,N,D,I,13,15,91.8,Stevenson 1997
Lagothrix lagothricha,T,S,Guarea glabra,Meliaceae,N,D,D,NA,15,20,Gonzalez 2014
Lagothrix lagothricha,T,S,Endlicheria sericea,Lauraceae,N,F,I,1,15.5,NA,Stevenson 2000
Lagothrix lagothricha,T,S,Pacouria guianensis,Apocynaceae,N,F,I,5,15.7,110,Gonzalez 2014
Lagothrix lagothricha,T,S,Spondias mombin,Anacardiaceae,N,F,I,1.357142857,16.35714286,25,"Stevenson 2000, Stevenson 2004, Stevenson 2005, Stevenson 2007, Dew 2001"
Lagothrix lagothricha,T,S,Strychnos schultesiana,Loganiaceae,N,D,I,30,16.42857143,68.75,Yumoto 1999
Lagothrix lagothricha,T,S,Maquira calophylla,Moraceae,N,F,I,NA,16.7,50,Gonzalez 2014
Lagothrix lagothricha,T,S,Socratea exorrhiza,Arecaceae,N,F,I,1,17.48148148,21.66666667,"Stevenson 2011, Stevenson 2007"
Lagothrix lagothricha,T,S,Pouteria procera,Sapotaceae,N,F,I,1,17.5,24.5,"Stevenson 2011, Stevenson 2007"
Lagothrix lagothricha,T,S,Inga macrophylla ,Leguminosae,N,F,I,18.81132075,17.54761905,34.16666667,Stevenson 2000
Lagothrix lagothricha,T,S,Spondias venulosa ,Anacardiaceae,N,F,I,1,17.6,25,"Stevenson 2000, Stevenson 2005, Stevenson 2007"
Lagothrix lagothricha,T,S,Tontelea attenuata,Hippocrateaceae,N,F,I,3.5,18.3,32.1125,Gonzalez 2014
Lagothrix lagothricha,T,S,Syagrus sancona,Arecaceae,N,F,I,1,19.54545455,23.16666667,Stevenson 2011
Lagothrix lagothricha,T,S,Pouteria laevigata,Sapotaceae,N,F,I,4,21.78695652,35.608,Gonzalez 2014
Lagothrix lagothricha,T,S,Anomospermum reticulatum,Menispermaceae,N,F,I,NA,22.5,11.15,"Ramirez 2013, Ramirez 2014"
Lagothrix lagothricha,T,S,Iriartea deltoidea,Arecaceae,N,D,I,1,23.38114754,32.25,"Stevenson 2011, Gonzalez 2014"
Lagothrix lagothricha,T,S,Dipteryx micrantha,Fabaceae,N,F,I,1,29.2962963,29.39215685,Echeverry 2020
Lagothrix lagothricha,T,S,Dicranostyles holostyla,Convolvulaceae,N,D,I,NA,NA,14.5,Gonzalez 2014
Lagothrix lagothricha,T,S,Mendoncia glomerata,Acanthaceae,N,D,D,NA,NA,6.011111111,Gonzalez 2014
Lagothrix lagothricha,T,S,Mendoncia pedunculata,Acanthaceae,N,D,D,NA,NA,NA,Gonzalez 2014
Lagothrix lagothricha,T,S,Coccoloba excelsa,Polygonaceae,N,F,I,1,NA,6.416666667,Gonzalez 2014
Lagothrix lagothricha,T,S,Iryanthera crassifolia,Myristicaceae,N,F,D,1,NA,19.95,Gonzalez 2014
Lagothrix lagothricha,T,S,Pourouma guianensis,Urticaceae,N,F,I,1,NA,17.07407407,Gonzalez 2014
Lagothrix lagothricha,T,S,Pouteria aubrevillei,Sapotaceae,N,F,I,1,NA,NA,Gonzalez 2014
Lagothrix lagothricha,T,S,Pouteria vernicosa,Sapotaceae,N,F,I,1,NA,32.351,Gonzalez 2014
Lagothrix lagothricha,T,S,Roucheria schomburgkii,Linaceae,N,F,I,1,NA,NA,Gonzalez 2014
Lagothrix lagothricha,T,S,Salacia elliptica,Celastraceae,N,F,D,2,NA,42.76470588,Gonzalez 2014
Lagothrix lagothricha,T,S,Phyllanthus attenuatus,Phyllanthaceae,N,F,I,4,NA,4.168272727,Gonzalez 2014
Lagothrix lagothricha,T,S,Matisia obliquifolia,Bombacaceae,N,F,I,5,NA,19.1,Dew 2001
Lagothrix lagothricha,T,S,Alibertia edulis,Rubiaceae,N,F,I,35,NA,30,Gonzalez 2014
Lagothrix lagothricha,T,S,Vismia mandur,Hypericaceae,N,F,I,74,NA,9.533333333,"Ramirez 2013, Ramirez 2014"
Lagothrix lagothricha,T,S,Saurauia brachybotrys,Actinidiaceae,N,F,I,152,NA,8.825,"Ramirez 2013, Ramirez 2014"
Lagothrix lagothricha,T,S,Buchenavia amazonia,Combretaceae,N,F,I,NA,NA,9.5,Gonzalez 2014
Lagothrix lagothricha,T,S,Buchenavia parvifolia,Combretaceae,N,F,I,NA,NA,10.75,Gonzalez 2014
Lagothrix lagothricha,T,S,Byrsonima arthropoda,Malpighiaceae,N,F,I,NA,NA,10.31666667,Gonzalez 2014
Lagothrix lagothricha,T,S,Byrsonima cowanii,Malpighiaceae,N,F,I,NA,NA,NA,Gonzalez 2014
Lagothrix lagothricha,T,S,Calyptranthes multiflora,Myrtaceae,N,F,I,NA,NA,6.266666667,Gonzalez 2014
Lagothrix lagothricha,T,S,Cecropia mutisiana,Urticaceae,N,F,I,NA,NA,2.618918919,Ramirez 2014
Lagothrix lagothricha,T,S,Cecropia telenitida,Urticaceae,N,F,I,NA,NA,14.16,"Ramirez 2013, Ramirez 2014"
Lagothrix lagothricha,T,S,Cissus microcarpa,Vitaceae,N,F,I,NA,NA,7,"Stevenson 2000, Stevenson 1997"
Lagothrix lagothricha,T,S,Crepidospermum prancei,Burseraceae,N,F,D,NA,NA,NA,Gonzalez 2014
Lagothrix lagothricha,T,S,Curarea toxicofera,Menispermaceae,N,F,I,NA,NA,12,Gonzalez 2014
Lagothrix lagothricha,T,S,Ficus lehmannii,Moraceae,N,F,I,NA,NA,5.263,"Ramirez 2013, Ramirez 2014"
Lagothrix lagothricha,T,S,Ficus membranacea,Moraceae,N,F,I,NA,NA,11.9855,"Stevenson 2000, Stevenson 2007"
Lagothrix lagothricha,T,S,Ficus mutisii,Moraceae,N,F,I,NA,NA,8.81725,Ramirez 2014
Lagothrix lagothricha,T,S,Guatteria foliosa,Annonaceae,N,F,I,NA,NA,9,Gonzalez 2014
Lagothrix lagothricha,T,S,Guettarda hirsuta,Rubiaceae,N,F,I,NA,NA,4.5,"Ramirez 2013, Ramirez 2014"
Lagothrix lagothricha,T,S,Heisteria duckei,Olacaceae,N,F,I,NA,NA,NA,Gonzalez 2014
Lagothrix lagothricha,T,S,Hyeronima huilense,Euphorbiaceae,N,F,I,NA,NA,NA,"Ramirez 2013, Ramirez 2014"
Lagothrix lagothricha,T,S,Lacmellea ramosissima,Apocynaceae,N,F,I,NA,NA,9.4934,Gonzalez 2014
Lagothrix lagothricha,T,S,Micropholis venulosa,Sapotaceae,N,F,I,NA,NA,11.06666667,Gonzalez 2014
Lagothrix lagothricha,T,S,Morus insignis,Moraceae,N,F,I,NA,NA,2.5,"Ramirez 2013, Ramirez 2014"
Lagothrix lagothricha,T,S,Neea robusta,Nyctaginaceae,N,F,I,NA,NA,10,Gonzalez 2014
Lagothrix lagothricha,T,S,Ocotea tomentosa,Lauraceae,N,F,I,NA,NA,NA,Stevenson 2000
Lagothrix lagothricha,T,S,Odontocarya emarginata,Menispermaceae,N,F,I,NA,NA,13.6,Gonzalez 2014
Lagothrix lagothricha,T,S,Pleurisanthes emarginata,Icacinaceae,N,F,I,NA,NA,NA,Gonzalez 2014
Lagothrix lagothricha,T,S,Protium amazonicum,Burseraceae,N,F,D,NA,NA,12.73333333,Gonzalez 2014
Lagothrix lagothricha,T,S,Protium ferrugineum,Burseraceae,N,F,D,NA,NA,15.26833333,Gonzalez 2014
Lagothrix lagothricha,T,S,Protium llanorum,Burseraceae,N,F,D,NA,NA,11.05,Gonzalez 2014
Lagothrix lagothricha,T,S,Protium opacum,Burseraceae,N,F,D,NA,NA,15.02,Gonzalez 2014
Lagothrix lagothricha,T,S,Prunus debilis,Rosaceae,N,F,I,NA,NA,18.455,Dew 2001
Lagothrix lagothricha,T,S,Roucheria columbiana,Linaceae,N,F,I,NA,NA,NA,Gonzalez 2014
Lagothrix lagothricha,T,S,Solanum barbeyanum,Solanaceae,N,F,I,NA,NA,NA,Gonzalez 2014
Lagothrix lagothricha,T,S,Sorocea pubivena,Moraceae,N,F,I,NA,NA,NA,Gonzalez 2014
Lagothrix lagothricha,T,S,Souroubea bicolor,Marcgraviaceae,N,F,D,NA,NA,NA,Gonzalez 2014
Lagothrix lagothricha,T,S,Souroubea guianensis,Marcgraviaceae,N,F,D,NA,NA,NA,Echeverry 2020
Lagothrix lagothricha,T,S,Telitoxicum krukovii,Menispermaceae,N,F,I,NA,NA,NA,Gonzalez 2014
Lagothrix lagothricha,T,S,Telitoxicum minutiflorum,Menispermaceae,N,F,I,NA,NA,17,Gonzalez 2014
Lagothrix lagothricha,T,S,Virola duckei,Myristicaceae,N,F,D,NA,NA,20,Gonzalez 2014
Lagothrix lagothricha,T,S,Vismia macrophylla,Hypericaceae,N,F,I,NA,NA,7.522222222,Gonzalez 2014
Lontra longicaudis,NT,S,Pithecellobium dulce,Fabaceae,N,F,D,7,NA,15,García-Silva 2021
Mazama gouazoubira,NT,L,Mauritia flexuosa,Arecaceae,N,F,I,1,36.66666667,36.42056075,"Bodmer 1991, Bodmer 2006"
Metachirus nudicaudatus,NT,S,Clidemia urceolata,Melastomataceae,N,F,I,168.8,0.525,2.1,Lessa 2013
Metachirus nudicaudatus,NT,S,Miconia holosericea,Melastomataceae,N,F,I,NA,1.25,6.675,Lessa 2013
Metachirus nudicaudatus,NT,S,Cordiera sessilis,Rubiaceae,N,F,I,31.7,NA,20.1,Lessa 2013
Metachirus nudicaudatus,NT,S,Cipocereus minensis,Cactaceae,N,F,D,NA,NA,32.3,"Lessa 2013, Carvalho 2019"
Metachirus nudicaudatus,NT,S,Psychotria capitata,Rubiaceae,N,F,I,NA,NA,NA,Lessa 2013
Metachirus nudicaudatus,NT,S,Psychotria hoffmannseggiana,Rubiaceae,N,F,I,NA,NA,NA,Lessa 2013
Metachirus nudicaudatus,NT,S,Solanum buddleiaefolium,Solanaceae,N,F,I,NA,NA,NA,Carvalho 2019
Nasua nasua,NT,S,Ficus benjamina,Moraceae,I,F,I,NA,0.410526316,14.55,Rucco 2020
Nasua nasua,NT,S,Piper aduncum ,Piperaceae,N,F,I,1,0.746969697,3.25,"Aguiar 2011, Alves-Costa 2007"
Nasua nasua,NT,S,Ficus trigona,Moraceae,N,F,I,187.2727273,0.875,17.5,Rucco 2020
Nasua nasua,NT,S,Ficus obtusifolia,Moraceae,N,F,I,690.0128205,0.9,24,"Alves-Costa 2007, Alves-Costa et al. 2004, Alves-Costa 1998"
Nasua nasua,NT,S,Miconia albicans,Melastomataceae,N,F,I,20.44757709,1,5.8,Alves-Costa 2007
Nasua nasua,NT,S,Cecropia hololeuca,Urticaceae,N,F,I,NA,1,7.45,Alves-Costa 2007
Nasua nasua,NT,S,Cecropia pachystachya,Urticaceae,N,F,I,196.6,1.045866667,11.30980392,"Alves-Costa 2007, Alves-Costa et al. 2004, Alves-Costa 1998, Rucco 2020"
Nasua nasua,NT,S,Cecropia glaziovi,Urticaceae,N,F,I,NA,1.1,NA,Alves-Costa 2007
Nasua nasua,NT,S,Vassobia breviflora,Solanaceae,N,F,I,37.25173913,1.26,3.141666667,Aguiar 2011
Nasua nasua,NT,S,Acca sellowiana,Myrtaceae,N,F,I,30,1.380952381,31.4638009,Bogoni 2018
Nasua nasua,NT,S,Ficus insipida,Moraceae,N,F,I,119.3548387,1.4,24.02061856,Alves-Costa 2007
Nasua nasua,NT,S,Guazuma mutamba,Sterculiaceae,N,D,D,48,1.5,17.83870968,"Alves-Costa et al. 2004, Alves-Costa 1998"
Nasua nasua,NT,S,Guazuma ulmifolia,Sterculiaceae,N,D,D,48,1.5,17.83870968,"Alves-Costa 2007, Bianchi 2014, Rucco 2020, Pedrosa 2019, Donatti 2011"
Nasua nasua,NT,S,Passiflora edulis,Passifloraceae,N,F,I,109.5,1.766666667,50.8,"Alves-Costa 2007, Alves-Costa et al. 2004, Alves-Costa 1998"
Nasua nasua,NT,S,Harrisia bonplandii,Cactaceae,N,F,D,749,1.8,42.5,Bianchi 2014
Nasua nasua,NT,S,Miconia flammea,Melastomataceae,N,F,I,1.53125,1.85,3.23,"Alves-Costa 2007, Alves-Costa et al. 2004, Alves-Costa 1998"
Nasua nasua,NT,S,Maclura tinctoria,Moraceae,N,F,I,NA,1.9,31.65,Alves-Costa 2007
Nasua nasua,NT,S,Hovenia dulcis,Rhamnaceae,I,F,I,3,3.225,5.572413793,"Lima 2015, Aguiar 2011, Santos 2006"
Nasua nasua,NT,S,Lithraea molleoides,Anacardiaceae,N,F,I,1,3.426666667,6.023166667,"Alves-Costa 2007, Alves-Costa et al. 2004, Alves-Costa 1998"
Nasua nasua,NT,S,Psychotria carthagenesis,Rubiaceae,N,F,I,2,3.523809524,5.761538462,Rucco 2020
Nasua nasua,NT,S,Guettarda viburnoides,Rubiaceae,N,F,I,5,3.65,12,Alves-Costa 2007
