mammal,threatened_status,body_size,plant_species,family,native_introduced,fleshy_dry,dehiscent_indehiscent,number_s_per_f,s_width,f_width,citations
Alouatta seniculus,NT,S,Chrysophyllum pomiferum,Sapotaceae,N,F,I,5,8,27.5,Andresen 2000
Alouatta seniculus,NT,S,Ocotea percurrens,Lauraceae,N,F,I,NA,8,6.5,"Andreson 2004, Andresen 2000"
Alouatta seniculus,NT,S,Byrsonima crispa,Malpighiaceae,N,F,I,1,8.05,11,"Andreson 2004, Andresen 2000"
Alouatta seniculus,NT,S,Coccoloba densifrons,Polygonaceae,N,F,I,1,8.242857143,13,"Stevenson 2002, Yumoto 1999"
Alouatta seniculus,NT,S,Pourouma tomentosa,Urticaceae,N,F,I,1,8.38,11.28,"Regan 2001, Julliot 1996"
Alouatta seniculus,NT,S,Tetragastris panamensis,Burseraceae,N,F,D,5.5,8.4,36.45,"Regan 2001, Guillotin 1994, Julliot 1996"
Alouatta seniculus,NT,S,Micropholis mensalis,Sapotaceae,N,F,I,1.5,8.477,17.212,Julliot 1996
Alouatta seniculus,NT,S,Castilla ulei,Moraceae,N,F,I,6.242857143,8.5,35.76666667,"Stevenson 2002,Yumoto 1999"
Alouatta seniculus,NT,S,Micropholis guyanensis ,Sapotaceae,N,F,I,1.5,8.583333333,17,"Feer 1999, Andresen 2001, Andreson 2004, Andresen 2000"
Alouatta seniculus,NT,S,Inga gracilifolia,Leguminosae,N,F,I,NA,8.9,18.4,Regan 2001
Alouatta seniculus,NT,S,Brosimum lactescens,Moraceae,N,F,I,1.45530303,8.924528302,15,Grafton 2004
Alouatta seniculus,NT,S,Trattinnickia aspera,Burseraceae,N,F,D,NA,9,9.14586364,Obregón 2007
Alouatta seniculus,NT,S,Drypetes variabilis,Putranjivaceae,N,F,I,1,9.65,11,"Regan 2001, Julliot 1996"
Alouatta seniculus,NT,S,Pourouma minor,Urticaceae,N,F,I,1,9.921875,14.16666667,"Andreson 2004, Andresen 2000"
Alouatta seniculus,NT,S,Pouteria egregia,Sapotaceae,N,F,I,1,10.1,18.56666667,"Regan 2001, Guillotin 1994, Julliot 1996"
Alouatta seniculus,NT,S,Pouteria cuspidata,Sapotaceae,N,F,I,1.071428571,10.62,20.53333333,Andresen 2000
Alouatta seniculus,NT,S,Pouteria reticulata,Sapotaceae,N,F,I,1.92,10.67045455,13.5,Andresen 2000
Alouatta seniculus,NT,S,Osteophloeum platyspermum,Myristicaceae,N,F,D,1,10.95,27.85,"Gomez 2004, Andresen 2000"
Alouatta seniculus,NT,S,Pouteria engleri,Sapotaceae,N,F,I,2,11,22,Gomez 2004
Alouatta seniculus,NT,S,Buchenavia grandis,Combretaceae,N,F,I,1,11.18214286,18,"Andreson 2004, Andresen 2000"
