Plant Species,Citations
Parahancornia fasciculata,Tropicos.org. Missouri Botanical Garden. 30 Jan 2024 http://www.tropicos.org/Image/101601227 Photographer: MBG CC-BY-NC-SA
Parinari excelsa,
Parinari obtusifolia,
Parkia multijuga,
Parkia pendula,
Paspalidium paludivagum,
Paspalum conjugatum,
Paspalum distichum,
Passiflora edulis,https://db.fieldmuseum.org/c8412366-05fd-4c3d-b0a5-6a5d4f316604. FMNH305937. Field Museum of Natural History.
Passiflora involucrata,
Paullinia capreolata,
Paullinia faginea,
Paullinia obovata,
Paullinia venosa,https://db.fieldmuseum.org/59f67d34-6b39-4862-a8a7-434009840d09. FMNH3114972. Field Museum of Natural History.
Pavonia schiedeana,"http://specimens.kew.org/herbarium/K000575116
https://db.fieldmuseum.org/c62a58e5-e363-431b-881a-99ec59b37da7. FMNH2969151. Field Museum of Natural History."
Pera arborea,
Perebea mollis,
Perebea xanthochyma,
Pereskia aculeata,
Peritassa laevigata,"https://db.fieldmuseum.org/55e36de3-025e-4061-88dc-66efd4176fa1. FMNH2985661 Field Museum of Natural History.
https://db.fieldmuseum.org/dbf3de32-0d3b-4407-8741-fa2e838738dc. FMNH292860. Field Museum of Natural History."
Philodendron appendiculatum,
Philodendron corcovadense,
Philodendron crassinervium,Tropicos.org. Missouri Botanical Garden. 30 Jan 2024 https://tropicos.org/image/100581260
Philodendron eximium,
Philodendron obliquifolium,Tropicos.org. Missouri Botanical Garden. 30 Jan 2024 http://www.tropicos.org/Image/100581355 CC-BY-NC-SA
Phoradendron piperoides,
Phyllanthus attenuatus,https://db.fieldmuseum.org/10545d7a-2c86-4c9f-85d9-d50f2c25ca9e. FMNH2928250 Field Museum of Natural History.
Phytelephas aequatorialis,http://specimens.kew.org/herbarium/K000462939
Piper aduncum ,
Piper glandulosissimum,
Pithecellobium dulce,
Pleurisanthes emarginata,
Polygonum punctatum,
Polypogon chilensis,
Poraqueiba guianensis,
Posoqueria latifolia,
Pourouma bicolor,
Pourouma guianensis,
Pourouma melinoni,https://db.fieldmuseum.org/467beb04-45bf-45e6-b718-3404ad1254cc. FMNH2954450. Field Museum of Natural History.
Pourouma minor,
Pourouma mollis,
Pourouma petiolulata,
Pourouma tomentosa,
Pourouma villosa,https://db.fieldmuseum.org/0cc5ea98-1979-4eca-ab93-41deda187675. FMNH3114641. Field Museum of Natural History.
Pouteria ambelaniifolia,https://db.fieldmuseum.org/b05bf298-f2d2-4ba0-bf64-9274bf44f043. FMNH3059433. Field Museum of Natural History.
Pouteria aubrevillei,"REFLORA. (n.d.). Brazilian plants: historic rescue and virtual herbarium for knowledge and conservation of the Brazilian flora. Retrieved December 10, 2024, from https://floradobrasil.jbrj.gov.br/reflora/PrincipalUC/PrincipalUC.do;jsessionid=403555A5E10B6B821F29DC4244DFCE60"
Pouteria bapeba,https://db.fieldmuseum.org/7f8b0cb2-dfe7-4288-821c-ca0871e9684b. FMNH3059453. Field Museum of Natural History.
Pouteria bilocularis,Tropicos.org. Missouri Botanical Garden. 30 Jan 2024 http://www.tropicos.org/Image/101781369 Photographer: MBG CC-BY-NC-SA
Pouteria brachyandra,
Pouteria caimito ,
Pouteria campanulata,https://db.fieldmuseum.org/0747372a-a763-472f-a25f-89282f425851. FMNH3113921. Field Museum of Natural History.
Pouteria cayennensis,https://db.fieldmuseum.org/63ec6bef-bd31-4b0d-9d4b-aae78847a5ac. FMNH3111666. Field Museum of Natural History.
Pouteria congestifolia,
Pouteria cuspidata,
Pouteria durlandii,
Pouteria egregia,
Pouteria engleri,
Pouteria filipes,https://db.fieldmuseum.org/81f5cd72-22aa-4e1d-a935-d1113a5b3aa9. FMNH3061253. Field Museum of Natural History.
Pouteria gardneri,
Pouteria glomerata,Tropicos.org. Missouri Botanical Garden. 30 Jan 2024 http://www.tropicos.org/Image/100928007 CC-BY-NC-SA
Pouteria guianensis,
Pouteria hispida,
Pouteria laevigata,https://db.fieldmuseum.org/0b8b0f1b-b27b-45d7-a749-19736ebcdb52. FMNH3063065 Field Museum of Natural History.
Pouteria oblanceolata,
Pouteria procera,https://db.fieldmuseum.org/553c862f-c10b-4591-b072-5dae20ff8350. FMNH3063557 Field Museum of Natural History.
Pouteria reticulata,
Pouteria robusta,
Pouteria sapota,
Pouteria speciosa,
Pouteria torta,
Pouteria vernicosa,https://db.fieldmuseum.org/5672be00-99a9-4b7b-bcba-825056917ced. FMNH3065134. Field Museum of Natural History.
Pradosia cochlearia,
Pradosia ptychandra,
Pradosia surinamensis,
Prockia crucis,"https://db.fieldmuseum.org/df3f465b-56d4-4f1c-a56d-a76944295a11. FMNH231297. Field Museum of Natural History.
Prockia crucis P.Browne ex L. (n.d.). Seed Information Database. Retrieved December 13, 2024, from https://ser-sid.org/species/055c7f80-de37-47dc-a497-ea9089cab2d8
Flora de Panama (n.d.). World Flora Online. Retrieved December 17, 2024, from https://about.worldfloraonline.org/floras/flora-de-panama"
Protium amazonicum,Tropicos.org. Missouri Botanical Garden. 30 Jan 2024 http://www.tropicos.org/Image/100501298 Photographer: MBG CC-BY-NC-SA
Protium apiculatum,
Protium crenatum,
Protium ferrugineum,Tropicos.org. Missouri Botanical Garden. 30 Jan 2024 http://www.tropicos.org/Image/100501186 Photographer: MBG CC-BY-NC-SA
Protium glabrescens,
Protium heptaphyllum,
Protium llanorum,Tropicos.org. Missouri Botanical Garden. 30 Jan 2024 http://www.tropicos.org/Image/100501370 Photographer: MBG CC-BY-NC-SA
Protium neglectum,Tropicos.org. Missouri Botanical Garden. 30 Jan 2024 http://www.tropicos.org/Image/100501549 Photographer: MBG CC-BY-NC-SA
Protium opacum,https://db.fieldmuseum.org/8ac09f13-0879-4a45-bcdb-fc1e2be14ce8. FMNH3062582. Field Museum of Natural History.
Protium rhoifolium,
Protium robustum,
Protium sagotianum ,
Prunus brasiliensis,
Prunus debilis,Tropicos.org. Missouri Botanical Garden. 30 Jan 2024 http://www.tropicos.org/Image/101268819 Photographer: MBG CC-BY-NC-SA
Prunus myrtifolia ,"Tropicos.org. Missouri Botanical Garden. 30 Jan 2024 https://tropicos.org/image/100369076
https://db.fieldmuseum.org/49d508bf-6249-428d-86da-b6acbf63431d. FMNH2361537. Field Museum of Natural History."
Prunus sellowii,https://db.fieldmuseum.org/56cb89ac-3252-43a8-b20f-e214a3c6e33e. FMNH309571. Field Museum of Natural History.
Psammisia falcata,
Pseudolmedia hirsuta,
Pseudolmedia laevigata,
Pseudolmedia laevis ,
Pseudolmedia obliqua,
Pseudolmedia rigida,
Pseudomalmea diclina,https://db.fieldmuseum.org/37056644-e87a-4cc9-8088-0a3747bfb0b6. FMNH287183. Field Museum of Natural History.
Psidium guajava,https://db.fieldmuseum.org/c1308309-3cc3-4507-9dcc-5b3f6b6098ec. FMNH397336. Field Museum of Natural History.
Psidium guineensis,
Psidium nutans,
Psychotria capitata,
Psychotria carthagenesis,
Psychotria hoffmannseggiana,
Psychotria kappleri,Tropicos.org. Missouri Botanical Garden. 07 Feb 2024 https://tropicos.org/image/100154848
Psychotria mapourioides,
Psychotria poeppigiana,
Psychotria suterella,
Quercus humboldtii        ,http://specimens.kew.org/herbarium/K000575037
Quiina obovata,
Randia hondensis ,http://specimens.kew.org/herbarium/K001438988
Rauvolfia paaraensis,
Rauvolfia sellowii,
Restos vegetais,
Rheedia macrophylla,
Rhodostemonodaphne grandis,
Rhodostemonodaphne synandra,
Rhynchospora pubera,
Rollinia dolichopetala,https://db.fieldmuseum.org/12daffd9-353c-4ca1-8343-5518fbb9d82a. FMNH287405. Field Museum of Natural History.
Rollinia edulis,
Rollinia mucosa ,
Rollinia sericea,
Roucheria columbiana,
Roucheria schomburgkii,
Ruizodendron ovale ,
Sacoglottis cydonioides,https://db.fieldmuseum.org/58077dbc-7d68-483c-9491-93f816a8b6ef. FMNH2986823. Field Museum of Natural History.
Salacia cordata,https://db.fieldmuseum.org/08f1fef1-ee63-489e-8892-e321358fca55. FMNH2985476. Field Museum of Natural History.
Salacia elliptica,
Sapium stylare,
Sarcaulus brasiliensis ,
Saurauia brachybotrys,https://db.fieldmuseum.org/c6b20afc-cdaa-4a23-ae9a-c5f3b1dd208c. FMNH2998139. Field Museum of Natural History.
Scheelea attaleoides,
Scheelea zonensis,
Schefflera decaphylla,https://db.fieldmuseum.org/c6b20afc-cdaa-4a23-ae9a-c5f3b1dd208c. FMNH3114314. Field Museum of Natural History.
Schefflera paraensis,
Schinus terebinthifolius,https://db.fieldmuseum.org/40693c16-34f0-4881-b559-72a6626caf9b. FMNH2905411. Field Museum of Natural History.
Schlegelia ramizii,
Scleria melaleuca,"Scleria gaertneri Raddi. (n.d.). Seed Information Database. Retrieved December 14, 2024, from https://ser-sid.org/species/9e6b27e3-69dd-403b-a2e3-441296b76c1a"
Senna macranthera,
Sesbania rostrata,
Setaria geniculata,
Sextonia rubra,https://db.fieldmuseum.org/4a62c577-a72c-4591-bab5-37dfcc03fb3d. FMNH294114. Field Museum of Natural History.
Simarouba amara,
Sloanea guianensis,
Socratea exorrhiza,
Solanum barbeyanum,
Solanum buddleiaefolium,
Solanum viarum,"Solanum viarum Dunal. (n.d.). Seed Information Database. Retrieved December 14, 2024, from https://ser-sid.org/species/652eb49b-2d06-4004-a625-eb02de007686"
Sorocea pubivena,
Sorocea steinbachii,
Souroubea bicolor,
Souroubea guianensis,
Souroubea sympetala ,
Spermacoce ocymifolia,
Spondias mombin,
Spondias venulosa ,
Stachys petiolosa,"Stachys gilliesii Benth. (n.d.). Seed Information Database. Retrieved December 14, 2024, from https://ser-sid.org/species/ee8057e9-f34a-466f-86fd-947e8316f68f"
Steirachne diandra,
Sterculia apetala,
Sterculia chicha,
Sterculia frondosa,https://db.fieldmuseum.org/455a0198-e918-48a1-a46a-30ababcad60e. FMNH697295. Field Museum of Natural History.
Strychnos amazonica,https://db.fieldmuseum.org/85bb83fb-04e3-4f53-a3bc-eccdc62d220a. FMNH4051682. Field Museum of Natural History.
Strychnos erichsonii,
Strychnos guianensis,
Strychnos panurensis,
Strychnos schultesiana,
Stryphnodendron guianense,
Styrax ferrugineus,
Styrax guianensis,
Swartzia arborescens,
Swartzia benthamiana,"https://db.fieldmuseum.org/5a48ebca-4d8a-4108-8bd9-8fd57a3125ea FMNH3380821. Field Museum of Natural History.
Swartzia benthamiana Miq. (n.d.). Seed Information Database. Retrieved December 14, 2024, from https://ser-sid.org/species/b8b4916f-2203-49da-9b86-b328a9997127"
Swartzia leptopetala,"https://db.fieldmuseum.org/5d240706-2e63-4779-942a-85655d87f88c. FMNH3383355. Field Museum of Natural History.
http://specimens.kew.org/herbarium/K001474487"
Swartzia panacoco,
Swartzia polyphylla,http://specimens.kew.org/herbarium/K000111274
Syagrus oleracea,
Syagrus pseudococos,
Syagrus romanzoffiana,
Syagrus sancona,
Symphonia globulifera,
Syzygium cumini,https://db.fieldmuseum.org/c36a4ab3-4d86-4f72-be47-27127b423670. FMNH2778757. Field Museum of Natural History.
Talisia intermedia ,
Talisia obovata,"https://db.fieldmuseum.org/d249e4cf-1e8e-4385-b3bd-d161dea2f0e8. FMNH3051804. Field Museum of Natural History.
Tropicos.org. Missouri Botanical Garden. 14 Dec 2024 http://legacy.tropicos.org/Image/100458074 Photographer: MBG CC-BY-NC-SA"
Talisia retusa,https://db.fieldmuseum.org/16038a21-8a84-4faf-83e6-bb4880727241. FMNH3051888. Field Museum of Natural History.
Tapirira guianensis,
Tapirira obtusa,
Tapirira peckoltiana,
Telitoxicum krukovii,
Telitoxicum minutiflorum,
Tetragastris altissima,
Tetragastris panamensis,
Theobroma obovatum,http://specimens.kew.org/herbarium/K001486955
Theobroma subincanum,
Tococa bullifera,
Tontelea attenuata,https://db.fieldmuseum.org/322f556c-db85-4c2f-8beb-ee977adfcb76. FMNH2986010. Field Museum of Natural History.
Tontelea mauritioides,https://db.fieldmuseum.org/ab6af31e-05db-46e0-8574-921006059d48. FMNH267888. Field Museum of Natural History.
Touroulia amazonica,
Trattinnickia aspera,https://db.fieldmuseum.org/68d353e8-6488-483a-aca0-a30798d94080. FMNH391868. Field Museum of Natural History.
Trichilia micrantha ,
Trichilia pleeana,
Trichilia septentrionalis,
Trichilia tuberculata,
Trichostigma octandra,
Trymatococcus oligandrus,
Turnera ulmifolia,
Unonopsis guatterioides,
Unonopsis lindmanii,
Unonopsis rufescens,
Vallisneria americana,
Vassobia breviflora,Tropicos.org. Missouri Botanical Garden. 14 Dec 2024 http://legacy.tropicos.org/Image/100429684 Photographer: MBG CC-BY-NC-SA
Virola bicuhyba,
Virola calophylla ,
Virola duckei,
Virola elongata,"Kirkbride, J. H., Jr., Gunn, C. R., & Dallwitz, M. J. (2021, April 12). Family guide for fruits and seeds: descriptions, illustrations, identification, and information retrieval. Retrieved January 24, 2024, from delta-intkey.com"
Virola flexuosa,
Virola kwatae,
Virola michelii,
Virola nobilis,
Virola oleifera,
Virola pavonis,Tropicos.org. Missouri Botanical Garden. 30 Jan 2024 http://www.tropicos.org/Image/101418671 CC-BY-NC-SA
Virola peruviana ,
Virola sebifera,
Virola surinamensis,http://specimens.kew.org/herbarium/K000047893
Vismia brasiliensis,http://specimens.kew.org/herbarium/K000221277
Vismia macrophylla,Tropicos.org. Missouri Botanical Garden. 30 Jan 2024 http://www.tropicos.org/Image/70461 CC-BY-NC-SA
Vismia mandur,https://db.fieldmuseum.org/9219582b-1ce8-4ce8-bb7d-f32f5e5ba385. FMNH3042195. Field Museum of Natural History.
Vitex capitata,
Vitex cymosa,
Vitex fanashawii,
Vitex megapotamica,
Vouacapoua americana,"Pereira, A. G. (2017). Morfometria de frutos, sementes, desenvolvimento pósseminal, plântulas e de plantas jovens e fisiologia de sementes de Vouacapoua americana Aubl. (Leguminosae). Retrieved December 14, 2024, from http://repositorio.ufra.edu.br/jspui/handle/123456789/492"
Waltheria albicans,
Welfia georgii,"del Pozo, D. G., Martin-Gomez, J. J., Tocino, A., & Cervantes, E. (2020). Seed morphology in Arecaceae. Retrieved December 14, 2024, from https://encyclopedia.pub/entry/2686"
Ximenia americana,
Xylopia polyantha,
Xyris jupicai,"Xyris jupicai Rich. (n.d.). Seed Information Database. Retrieved December 14, 2024, from https://ser-sid.org/species/cb80307e-6a9a-494e-ab27-7da02ab385ba"
Yucca brevifolia,
Zea mays,
Zizaniopsis bonariensis,
Ziziphus cinnamomum,
Ziziphus joazeiro,
